srcStateName,srcDistrictName,District and Taluk Court Case type,Pending cases for a period of 0 to 1 Years,Pending cases for a period of 1 to 3 Years,Pending cases for a period of 3 to 5 Years,Pending cases for a period of 5 to 10 Years,Pending cases for a period of 10 to 20 Years,Pending cases for a period of 20 to 30 Years,Pending cases over 30 Years,Pending cases,Original pending cases,Pending Appeal cases,Pending Application cases,Pending Execution cases,Cases pending at Appearance or Service-Related stage,Cases pending at Compliance or Steps or stay stage,Cases pending at Evidence or Argument or Judgement stage,Cases pending at Pleadings or Issues or Charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by Senior Citizens,Cases filed by women,Cases delayed in disposal,srcYear,As on Date,YearCode,Year
Rajasthan,Jaisalmer,Civil,607,547,404,305,100,1,0,1964,925,65,231,743,904,328,536,66,145,106,220,232,1139,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Bettiah,Total,26448,21789,18861,45933,17644,2998,182,133855,117198,1505,5461,614,65315,10765,49030,1841,2424,1711,6428,9817,94234,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Siwan,Civil,5205,4108,2261,4793,3001,856,286,20510,16778,1116,1589,1009,8388,2163,3150,1024,307,147,6688,3871,12235,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Siwan,Criminal,11064,11508,14073,30803,15417,3029,234,86128,84219,924,985,0,49669,2592,20848,13,1489,1422,5129,12777,69791,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Siwan,Total,16269,15616,16334,35596,18418,3885,520,106638,100997,2040,2574,1009,58057,4755,23998,1037,1796,1569,11817,16648,82026,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Nalanda,Civil,2800,2598,1711,2865,1532,321,110,11937,10145,526,676,590,6619,588,4465,262,158,81,1725,2779,7013,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Nalanda,Criminal,16439,18538,19255,34200,20109,2222,269,111032,108911,1363,759,0,71118,1887,34618,3089,1345,1036,1173,3604,77642,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Nalanda,Total,19239,21136,20966,37065,21641,2543,379,122969,119056,1889,1435,590,77737,2475,39083,3351,1503,1117,2898,6383,84655,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Sitamarhi,Civil,2678,2401,1209,2776,729,148,40,9981,7630,307,392,534,1707,2988,2051,726,129,333,1677,1614,5111,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Sitamarhi,Criminal,10186,12537,14316,29670,5757,461,43,72970,61547,297,528,0,41478,2585,18487,137,789,540,1036,5368,43018,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Sitamarhi,Total,12864,14938,15525,32446,6486,609,83,82951,69177,604,920,534,43185,5573,20538,863,918,873,2713,6982,48129,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Bhojpur,Civil,5604,5106,2714,5499,2968,647,161,22699,18755,1003,1667,1274,11889,3581,6375,845,273,147,1631,2080,13706,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Bhojpur,Criminal,16646,14858,18908,29028,16233,2248,199,98120,96464,567,1089,0,57401,5688,26493,1759,1614,1246,1431,5201,67788,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Bhojpur,Total,22250,19964,21622,34527,19201,2895,360,120819,115219,1570,2756,1274,69290,9269,32868,2604,1887,1393,3062,7281,81494,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Bhagalpur,Civil,4147,3180,2238,5161,2695,511,273,18205,15418,841,1185,759,7643,2871,6840,844,186,93,3106,2001,10204,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Bhagalpur,Criminal,16746,14524,12491,22590,12894,1139,142,80526,79066,698,761,0,42319,2343,32505,1884,1355,918,2670,8249,49438,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Bhagalpur,Total,20893,17704,14729,27751,15589,1650,415,98731,94484,1539,1946,759,49962,5214,39345,2728,1541,1011,5776,10250,59642,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Gaya,Civil,4920,4508,2930,5880,2471,377,81,21167,18041,1043,1070,1013,9198,2740,7885,757,255,55,4355,4541,11669,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Gaya,Criminal,14899,19132,21005,45959,23345,2530,168,127038,121721,1695,2753,0,85828,5404,30826,2293,2300,1600,1794,8114,91327,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Gaya,Total,19819,23640,23935,51839,25816,2907,249,148205,139762,2738,3823,1013,95026,8144,38711,3050,2555,1655,6149,12655,102996,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Jehanabad,Civil,1823,1463,699,1579,466,70,18,6118,4775,302,751,257,2243,972,2609,271,75,87,1594,1053,3031,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Jehanabad,Criminal,10457,6986,6708,10321,4292,339,26,39129,37656,245,508,0,19391,1360,16605,525,867,614,661,2156,23436,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Jehanabad,Total,12280,8449,7407,11900,4758,409,44,45247,42431,547,1259,257,21634,2332,19214,796,942,701,2255,3209,26467,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Sheohar,Civil,446,338,209,446,174,13,0,1626,1390,91,58,87,765,130,647,84,35,23,255,188,911,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Sheohar,Criminal,2581,3068,2516,2442,494,19,4,11124,11008,74,38,0,5672,387,4416,337,308,209,343,1700,6993,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Sheohar,Total,3027,3406,2725,2888,668,32,4,12750,12398,165,96,87,6437,517,5063,421,343,232,598,1888,7904,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Muzaffarpur,Civil,7316,5814,3985,6029,3467,714,173,27498,23410,637,1490,1798,9476,5677,9919,1335,400,149,5296,5605,9817,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Muzaffarpur,Criminal,28141,25110,30243,43800,33363,6058,710,167425,148607,715,1693,0,104231,4666,53970,2290,2297,1242,3802,11876,89591,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Muzaffarpur,Total,35457,30924,34228,49829,36830,6772,883,194923,172017,1352,3183,1798,113707,10343,63889,3625,2697,1391,9098,17481,99408,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Vaishali,Civil,6299,5419,3359,5909,2794,661,105,24546,21093,868,1397,1188,7210,9954,6424,957,326,280,6142,4724,13602,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Vaishali,Criminal,13934,12154,18384,19806,17366,2674,182,84500,82816,605,1079,0,46285,4098,32675,1424,1689,1382,2692,7823,51662,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Bihar,Vaishali,Total,20233,17573,21743,25715,20160,3335,287,109046,103909,1473,2476,1188,53495,14052,39099,2381,2015,1662,8834,12547,65264,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Rajsamand,Civil,3712,3029,1467,1744,365,16,5,10338,6300,492,2467,1079,3238,2792,3723,558,126,57,2225,1424,5035,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Rajsamand,Criminal,8901,7951,4445,6111,286,0,0,27694,23568,622,3503,0,12770,1924,11632,1351,1021,694,881,2151,13832,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Rajsamand,Total,12613,10980,5912,7855,651,16,5,38032,29868,1114,5970,1079,16008,4716,15355,1909,1147,751,3106,3575,18867,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Alwar,Civil,13174,11729,5803,9242,3173,112,8,43241,23718,1992,7301,10230,22777,6876,11436,1145,319,244,6516,4897,21534,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Alwar,Criminal,25073,25372,17324,24979,4367,176,0,97291,82252,3537,11506,0,38735,5276,44696,6558,3500,2058,2201,5551,55398,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Alwar,Total,38247,37101,23127,34221,7540,288,8,140532,105970,5529,18807,10230,61512,12152,56132,7703,3819,2302,8717,10448,76932,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dausa,Civil,3617,2267,787,1078,175,12,1,7937,5571,337,782,1247,3062,1789,2548,493,112,70,1025,702,3569,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dausa,Criminal,9655,9217,4296,6659,869,7,0,30703,27285,687,2731,0,11975,2014,14559,2131,1852,820,318,619,18311,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dausa,Total,13272,11484,5083,7737,1044,19,1,38640,32856,1024,3513,1247,15037,3803,17107,2624,1964,890,1343,1321,21880,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jaipur Metro I,Civil,22180,12447,8302,9645,3938,418,109,57039,36914,1662,10972,7469,25058,11628,16045,3983,801,444,4729,6125,28079,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jaipur Metro I,Criminal,95318,69791,40800,30891,11982,965,27,249774,236451,5692,6393,0,189580,6806,43266,8210,12879,5598,1470,4884,118077,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jaipur Metro I,Total,117498,82238,49102,40536,15920,1383,136,306813,273365,7354,17365,7469,214638,18434,59311,12193,13680,6042,6199,11009,146156,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Tonk,Civil,4519,2840,1490,1897,245,8,2,11001,6710,623,2143,1525,3939,2159,4106,724,151,72,2167,1883,4448,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Tonk,Criminal,8947,8752,5358,5454,559,4,0,29074,24360,967,3748,0,8527,1476,17003,2045,1608,1397,537,1922,14258,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Tonk,Total,13466,11592,6848,7351,804,12,2,40075,31070,1590,5891,1525,12466,3635,21109,2769,1759,1469,2704,3805,18706,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bikaner,Civil,5669,4381,2352,3606,1239,119,34,17400,10834,1016,3651,1899,6234,3725,6784,579,264,110,1285,2015,9384,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bikaner,Criminal,12649,11024,7502,11687,2297,116,31,45306,39369,1166,4724,0,17292,2436,23329,2236,2691,1474,405,1605,27621,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bikaner,Total,18318,15405,9854,15293,3536,235,65,62706,50203,2182,8375,1899,23526,6161,30113,2815,2955,1584,1690,3620,37005,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Ganganagar,Civil,6547,4689,2302,2626,783,47,1,16995,10891,898,2206,3000,7714,3661,4996,530,153,59,2091,3219,7204,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Ganganagar,Criminal,15465,13336,10292,13229,2197,61,1,54581,42396,2816,9369,0,22889,4297,24156,3209,2641,2021,1001,3790,29090,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Ganganagar,Total,22012,18025,12594,15855,2980,108,2,71576,53287,3714,11575,3000,30603,7958,29152,3739,2794,2080,3092,7009,36294,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Merta Nagaur,Civil,4809,3732,2349,2550,697,95,9,14241,9397,1041,2275,1528,6033,2505,5058,607,180,94,2974,1920,6571,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Merta Nagaur,Criminal,10737,9970,6167,7148,818,12,0,34852,28887,1804,4161,0,10626,3706,17991,2527,1283,913,652,1580,18649,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Merta Nagaur,Total,15546,13702,8516,9698,1515,107,9,49093,38284,2845,6436,1528,16659,6211,23049,3134,1463,1007,3626,3500,25220,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Udaipur,Civil,7828,5273,2759,4003,1024,92,30,21009,13175,830,3613,3385,8625,3502,6582,1748,279,152,3544,1850,9238,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Udaipur,Criminal,27881,28771,15025,24301,4552,136,9,100675,93710,1110,5854,1,50998,4281,36157,8625,2264,2159,1892,2681,47917,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Udaipur,Total,35709,34044,17784,28304,5576,228,39,121684,106885,1940,9467,3386,59623,7783,42739,10373,2543,2311,5436,4531,57155,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bundi,Civil,3200,2153,917,985,66,1,2,7324,5155,757,1047,365,1674,1132,3440,940,129,107,1545,1305,3184,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bundi,Criminal,7450,6819,3776,4091,54,0,0,22190,18864,1209,2117,0,5061,896,15131,1087,1249,971,475,871,11882,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bundi,Total,10650,8972,4693,5076,120,1,2,29514,24019,1966,3164,365,6735,2028,18571,2027,1378,1078,2020,2176,15066,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Hanumangarh,Civil,5170,3146,1547,1473,271,4,4,11615,7694,691,2264,966,3600,2439,4588,913,209,103,2265,2080,5219,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Hanumangarh,Criminal,10743,10162,5607,6992,650,12,0,34166,28089,1265,4812,0,14338,1020,16913,1886,1541,1307,795,2577,20546,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Hanumangarh,Total,15913,13308,7154,8465,921,16,4,45781,35783,1956,7076,966,17938,3459,21501,2799,1750,1410,3060,4657,25765,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Baran,Civil,2130,1215,536,785,57,0,0,4723,3098,416,640,569,1577,796,2019,258,40,61,1013,806,2207,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Baran,Criminal,8148,8474,4939,7245,160,2,0,28968,24238,906,3824,0,8597,854,18096,1419,1139,931,510,1420,18344,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Baran,Total,10278,9689,5475,8030,217,2,0,33691,27336,1322,4464,569,10174,1650,20115,1677,1179,992,1523,2226,20551,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bharatpur,Civil,7332,5889,2864,3897,446,24,5,20457,11008,1299,4231,3919,6303,4147,6821,1304,269,121,3890,3085,9079,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bharatpur,Criminal,15943,14052,8560,10847,2052,71,2,51527,38011,2174,11342,0,14957,5411,26874,4172,1774,1360,763,3695,28380,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bharatpur,Total,23275,19941,11424,14744,2498,95,7,71984,49019,3473,15573,3919,21260,9558,33695,5476,2043,1481,4653,6780,37459,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Ajmer,Civil,11076,7204,4205,5918,1942,104,17,30466,18494,1831,4728,5413,8422,10298,9607,1799,487,315,5356,4175,15619,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Ajmer,Criminal,20785,20566,13427,15012,1959,22,1,71772,63053,3028,5691,0,21200,14098,32126,3970,3797,3076,2354,3044,40062,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Ajmer,Total,31861,27770,17632,20930,3901,126,18,102238,81547,4859,10419,5413,29622,24396,41733,5769,4284,3391,7710,7219,55681,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jhunjhunu,Civil,4445,3315,1745,1085,240,7,1,10838,7132,547,1447,1712,4432,1543,3775,907,172,75,2462,1972,4894,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jhunjhunu,Criminal,9514,9156,5472,5766,719,11,1,30639,25225,1000,4414,0,10331,2629,16177,1459,1081,878,843,2498,16143,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jhunjhunu,Total,13959,12471,7217,6851,959,18,2,41477,32357,1547,5861,1712,14763,4172,19952,2366,1253,953,3305,4470,21037,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Pali,Civil,4842,4595,2638,3328,971,56,12,16442,11119,798,3580,944,6000,3948,5612,855,150,45,3756,2963,7607,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Pali,Criminal,13078,13963,10063,13881,2836,21,2,53844,45527,1308,7009,0,23530,4021,23145,3139,2141,1373,1327,3685,30058,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Pali,Total,17920,18558,12701,17209,3807,77,14,70286,56646,2106,10589,944,29530,7969,28757,3994,2291,1418,5083,6648,37665,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Kota,Civil,7596,5724,2852,4709,933,107,1,21922,13041,1198,3248,4435,7306,4879,8664,896,328,360,3304,3489,11791,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Kota,Criminal,23748,20533,13630,19258,3998,15,1,81183,70431,2166,8586,0,33473,6714,36117,4752,4258,3248,2724,7210,47728,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Kota,Total,31344,26257,16482,23967,4931,122,2,103105,83472,3364,11834,4435,40779,11593,44781,5648,4586,3608,6028,10699,59519,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jalore,Civil,1702,1441,596,717,181,8,0,4645,3043,201,883,518,1892,992,1460,295,62,10,930,1030,2348,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jalore,Criminal,5711,5155,2792,3927,591,4,0,18180,15767,526,1887,0,5850,790,9791,1739,827,699,179,605,10710,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jalore,Total,7413,6596,3388,4644,772,12,0,22825,18810,727,2770,518,7742,1782,11251,2034,889,709,1109,1635,13058,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jhalawar,Civil,2175,1391,725,973,52,4,2,5322,3471,155,756,940,2480,651,1426,552,125,57,926,945,2288,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jhalawar,Criminal,9777,8997,6106,6285,417,1,0,31583,27640,398,3545,0,10069,1343,16232,3918,1589,1142,372,1377,15749,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jhalawar,Total,11952,10388,6831,7258,469,5,2,36905,31111,553,4301,940,12549,1994,17658,4470,1714,1199,1298,2322,18037,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Pratapgarh,Civil,1129,525,238,211,64,0,0,2167,1758,112,0,297,1036,315,646,160,75,41,497,492,792,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Pratapgarh,Criminal,4063,4440,1267,928,40,1,0,10739,9360,240,1139,0,3769,355,5086,1525,696,535,138,884,4823,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Pratapgarh,Total,5192,4965,1505,1139,104,1,0,12906,11118,352,1139,297,4805,670,5732,1685,771,576,635,1376,5615,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dungarpur,Civil,1396,880,407,148,5,0,0,2836,2274,60,155,347,1443,415,904,74,70,45,283,808,1268,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dungarpur,Criminal,5098,3753,2121,1115,6,0,0,12093,10630,544,919,0,2981,893,6655,1556,710,515,173,466,5912,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dungarpur,Total,6494,4633,2528,1263,11,0,0,14929,12904,604,1074,347,4424,1308,7559,1630,780,560,456,1274,7180,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Banswara,Civil,1516,1099,378,271,35,0,0,3299,2644,51,285,319,1033,552,1483,210,54,33,335,556,1466,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Banswara,Criminal,5797,6119,3574,1307,44,2,0,16843,14748,366,1730,0,4705,872,9405,1847,751,458,196,518,8878,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Banswara,Total,7313,7218,3952,1578,79,2,0,20142,17392,417,2015,319,5738,1424,10888,2057,805,491,531,1074,10344,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Sirohi,Civil,2134,1479,896,997,125,10,2,5643,4669,161,458,355,2002,890,2326,404,100,57,1039,1031,2889,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Sirohi,Criminal,6302,5166,3649,3946,459,13,0,19535,17798,262,1475,0,8496,662,9406,963,782,746,267,506,11426,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Sirohi,Total,8436,6645,4545,4943,584,23,2,25178,22467,423,1933,355,10498,1552,11732,1367,882,803,1306,1537,14315,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Balotra Barmer,Civil,2686,1947,986,926,311,15,0,6871,4836,292,1078,665,3006,1637,1718,411,61,57,862,913,3763,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Balotra Barmer,Criminal,5125,6391,4306,6931,1968,28,1,24750,22506,682,1562,0,5256,2002,13699,3782,763,635,82,571,15633,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Balotra Barmer,Total,7811,8338,5292,7857,2279,43,1,31621,27342,974,2640,665,8262,3639,15417,4193,824,692,944,1484,19396,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jodhpur Metro,Civil,7376,5627,2935,5195,2145,219,63,23560,15702,522,3945,3391,7701,6440,8193,879,201,144,2960,4296,12308,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jodhpur Metro,Criminal,27822,23003,16436,24429,4596,141,2,96429,89146,1799,5484,0,42793,22137,27745,3673,2260,1614,836,5245,51389,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jodhpur Metro,Total,35198,28630,19371,29624,6741,360,65,119989,104848,2321,9429,3391,50494,28577,35938,4552,2461,1758,3796,9541,63697,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Karauli,Civil,1726,1254,645,662,124,6,0,4417,2990,288,662,477,1624,864,1580,345,74,82,1144,432,1891,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Karauli,Criminal,6572,6435,4133,4301,379,3,0,21823,18696,669,2458,0,5006,1648,13500,1666,712,574,273,513,11831,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Karauli,Total,8298,7689,4778,4963,503,9,0,26240,21686,957,3120,477,6630,2512,15080,2011,786,656,1417,945,13722,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Chittorgarh,Civil,4731,2428,1417,2002,334,22,3,10937,6909,506,1742,1779,4034,2127,3749,773,123,115,1937,2041,4671,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Chittorgarh,Criminal,12632,12676,6220,9226,887,14,1,41656,33442,1034,7180,0,16756,3628,18677,2532,1448,1207,1265,3351,22132,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Chittorgarh,Total,17363,15104,7637,11228,1221,36,4,52593,40351,1540,8922,1779,20790,5755,22426,3305,1571,1322,3202,5392,26803,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bhilwara,Civil,7173,5889,2870,3173,541,44,4,19694,12374,796,2947,3574,8377,3143,6530,1615,253,242,2458,2929,8492,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bhilwara,Criminal,18739,18454,14581,11802,941,12,0,64529,56677,1949,5900,0,31038,1825,28020,3609,2107,1608,1532,3173,33850,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Bhilwara,Total,25912,24343,17451,14975,1482,56,4,84223,69051,2745,8847,3574,39415,4968,34550,5224,2360,1850,3990,6102,42342,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jaisalmer,Criminal,2671,2769,2034,2546,137,1,0,10158,9580,237,341,0,2608,272,6189,1086,471,381,120,118,5363,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Jaisalmer,Total,3278,3316,2438,2851,237,2,0,12122,10505,302,572,743,3512,600,6725,1152,616,487,340,350,6502,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Churu,Civil,3611,2340,1417,1584,532,27,13,9524,6922,257,1385,960,3935,1844,2855,722,122,82,1781,1947,5142,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Churu,Criminal,8946,7632,4468,5472,829,11,1,27359,22010,969,4380,0,9459,1679,14384,1823,1180,852,623,1710,15256,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Churu,Total,12557,9972,5885,7056,1361,38,14,36883,28932,1226,5765,960,13394,3523,17239,2545,1302,934,2404,3657,20398,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dholpur,Civil,2351,1371,625,954,165,8,1,5475,3894,187,1079,315,1441,1334,2129,269,110,26,1042,1484,2193,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dholpur,Criminal,5344,5572,2245,4051,563,14,1,17790,15410,252,2128,0,5064,1156,10518,1028,872,756,230,294,7712,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
Rajasthan,Dholpur,Total,7695,6943,2870,5005,728,22,2,23265,19304,439,3207,315,6505,2490,12647,1297,982,782,1272,1778,9905,2024,10-Jul-2024,2024,"Calendar Year (Jan - Dec), 2024"
